census_NAME,census_B01001_001E,census_B19013_001E,zcta,census_S2701_C03_001E,census_S2701_C05_001E,cdc_totalpopulation,cdc_access2_crudeprev,cdc_checkup_crudeprev,cdc_dental_crudeprev,cdc_arthritis_crudeprev,cdc_bphigh_crudeprev,cdc_cancer_crudeprev,cdc_casthma_crudeprev,cdc_chd_crudeprev,cdc_copd_crudeprev,cdc_depression_crudeprev,cdc_diabetes_crudeprev,cdc_highchol_crudeprev,cdc_kidney_crudeprev,cdc_obesity_crudeprev,cdc_stroke_crudeprev,cdc_ghlth_crudeprev,cdc_mhlth_crudeprev,cdc_phlth_crudeprev,npi_total_providers,npi_individual_providers,npi_organization_providers
ZCTA5 85338,64448,99345,85338,91.3,8.7,41115,12.0,65.9,63.8,18.0,23.7,4.9,10.0,3.8,4.4,19.7,7.7,29.6,2.4,31.1,2.1,12.8,17.1,9.5,153.0,96.0,57.0
ZCTA5 85339,53972,104023,85339,88.3,11.7,35586,15.6,65.4,57.1,16.5,24.1,4.0,10.7,3.6,4.6,19.4,8.7,28.1,2.5,33.1,2.2,15.9,18.8,10.5,153.0,61.0,92.0
ZCTA5 85340,38873,117193,85340,92.7,7.3,26262,10.6,67.6,65.6,20.0,25.6,5.9,9.9,4.3,4.7,19.2,8.1,31.6,2.6,30.0,2.3,12.6,16.2,9.5,138.0,109.0,29.0
ZCTA5 85342,1639,53996,85342,92.7,7.3,1578,9.2,72.1,64.8,29.5,34.8,9.2,10.0,7.7,7.9,19.5,11.2,39.6,3.8,30.4,3.6,15.7,15.3,12.2,4.0,2.0,2.0
ZCTA5 85343,79,143000,85343,100.0,0.0,196,16.5,68.4,57.3,25.5,32.4,7.2,10.2,7.1,7.8,19.7,11.7,37.0,3.6,33.5,3.5,19.0,17.2,13.2,1.0,0.0,1.0
ZCTA5 85345,61822,64563,85345,86.6,13.4,56208,14.1,68.0,59.1,22.9,28.9,6.4,10.6,5.6,6.5,20.5,10.2,33.6,3.2,32.3,3.0,16.8,18.1,11.9,154.0,101.0,53.0
ZCTA5 85351,27562,50812,85351,97.8,2.2,27789,6.4,84.5,66.6,46.9,53.3,17.9,9.0,15.0,12.1,15.0,17.5,51.0,7.0,26.7,6.9,20.5,10.4,15.5,187.0,96.0,91.0
ZCTA5 85353,44995,88867,85353,83.3,16.7,31011,22.7,63.5,54.0,14.9,22.2,3.6,10.3,3.6,4.1,19.2,8.8,27.5,2.5,33.7,2.1,17.7,19.0,10.8,152.0,102.0,50.0
ZCTA5 85354,7731,64596,85354,80.8,19.2,6645,16.1,66.9,55.7,23.9,30.1,6.1,10.8,6.0,7.5,21.4,10.9,35.0,3.2,34.5,3.1,18.9,18.9,13.3,25.0,22.0,3.0
ZCTA5 85355,13341,115401,85355,89.6,10.4,8745,9.9,66.5,65.0,19.7,24.9,5.4,10.2,4.1,4.8,20.6,7.7,30.9,2.5,31.0,2.2,12.3,17.2,9.7,71.0,49.0,22.0
