zcta,census_B01001_001E,census_B19013_001E,census_S2701_C03_001E,census_S2701_C05_001E,cdc_totalpopulation,cdc_access2_crudeprev,cdc_checkup_crudeprev,cdc_dental_crudeprev,cdc_arthritis_crudeprev,cdc_bphigh_crudeprev,cdc_cancer_crudeprev,cdc_casthma_crudeprev,cdc_chd_crudeprev,cdc_copd_crudeprev,cdc_depression_crudeprev,cdc_diabetes_crudeprev,cdc_highchol_crudeprev,cdc_kidney_crudeprev,cdc_obesity_crudeprev,cdc_stroke_crudeprev,cdc_ghlth_crudeprev,cdc_mhlth_crudeprev,cdc_phlth_crudeprev,npi_total_providers,npi_individual_providers,npi_organization_providers,Z_census_B01001_001E,Z_census_B19013_001E,Z_census_S2701_C03_001E,Z_census_S2701_C05_001E,Z_cdc_arthritis_crudeprev,Z_cdc_bphigh_crudeprev,Z_cdc_cancer_crudeprev,Z_cdc_casthma_crudeprev,Z_cdc_chd_crudeprev,Z_cdc_copd_crudeprev,Z_cdc_depression_crudeprev,Z_cdc_diabetes_crudeprev,Z_cdc_highchol_crudeprev,Z_cdc_kidney_crudeprev,Z_cdc_obesity_crudeprev,Z_cdc_stroke_crudeprev,Z_cdc_ghlth_crudeprev,Z_cdc_mhlth_crudeprev,Z_cdc_phlth_crudeprev,Z_cdc_access2_crudeprev,Z_cdc_checkup_crudeprev,Z_cdc_dental_crudeprev,Z_npi_total_providers,Z_npi_individual_providers,Z_npi_organization_providers
85016,36857,85085,89.0,11.0,33896,13.2,68.0,62.3,21.6,27.8,6.5,10.1,5.2,5.5,19.3,9.3,33.0,3.0,30.7,2.7,15.0,16.6,10.6,233.0,159.0,74.0,0.406356,0.279548,0.646643,0.353357,0.287324,0.285714,0.24359,0.290323,0.216,0.266667,0.519608,0.333333,0.366197,0.230769,0.382716,0.236364,0.3,0.45614,0.285714,0.291411,0.268398,0.612403,0.851711,0.885714,0.612069
85017,44336,51737,74.9,25.1,38872,30.2,63.8,41.4,18.9,28.2,4.0,11.6,5.5,7.2,21.5,12.6,31.4,3.2,38.2,3.1,26.9,22.7,15.3,172.0,107.0,65.0,0.494546,0.032027,0.14841,0.85159,0.211268,0.296919,0.083333,0.532258,0.24,0.455556,0.735294,0.589147,0.309859,0.269231,0.845679,0.309091,0.795833,0.812865,0.639098,0.812883,0.08658,0.072351,0.619772,0.588571,0.534483
85018,38268,87637,90.2,9.8,36065,9.5,69.3,67.5,22.4,27.8,7.1,9.7,5.2,5.2,18.9,8.6,33.6,2.9,29.2,2.6,12.6,15.1,9.7,88.0,51.0,37.0,0.422994,0.29849,0.689046,0.310954,0.309859,0.285714,0.282051,0.225806,0.216,0.233333,0.480392,0.27907,0.387324,0.211538,0.290123,0.218182,0.2,0.368421,0.218045,0.177914,0.324675,0.74677,0.30038,0.268571,0.293103
85019,26974,58767,77.3,22.7,25042,31.3,64.7,41.9,20.6,29.7,4.6,11.6,6.2,7.6,21.3,13.7,33.1,3.6,38.2,3.4,27.8,22.0,15.9,161.0,121.0,40.0,0.289818,0.084207,0.233216,0.766784,0.259155,0.338936,0.121795,0.532258,0.296,0.5,0.715686,0.674419,0.369718,0.346154,0.845679,0.363636,0.833333,0.77193,0.684211,0.846626,0.125541,0.085271,0.577947,0.668571,0.318966
85020,33934,78412,91.6,8.4,32850,12.0,69.7,63.4,24.3,30.1,7.4,10.1,5.9,6.3,19.4,10.0,35.2,3.3,30.9,3.0,15.3,16.1,11.2,182.0,100.0,82.0,0.371888,0.230019,0.738516,0.261484,0.36338,0.35014,0.301282,0.290323,0.272,0.355556,0.529412,0.387597,0.443662,0.288462,0.395062,0.290909,0.3125,0.426901,0.330827,0.254601,0.341991,0.640827,0.657795,0.548571,0.681034
85021,40026,58481,84.2,15.8,37743,17.2,67.7,55.8,22.1,29.2,6.3,10.7,5.7,6.6,20.2,10.4,33.2,3.2,32.9,3.0,18.6,18.9,12.3,164.0,110.0,54.0,0.443724,0.082084,0.477032,0.522968,0.301408,0.32493,0.230769,0.387097,0.256,0.388889,0.607843,0.418605,0.373239,0.269231,0.518519,0.290909,0.45,0.590643,0.413534,0.41411,0.255411,0.444444,0.589354,0.605714,0.439655
85022,52488,66601,88.9,11.1,46395,10.6,68.2,63.1,22.6,27.8,6.6,10.4,5.2,6.0,20.7,8.8,33.4,2.9,30.3,2.7,14.2,17.4,10.7,161.0,98.0,63.0,0.590673,0.142353,0.64311,0.35689,0.315493,0.285714,0.25,0.33871,0.216,0.322222,0.656863,0.294574,0.380282,0.211538,0.358025,0.236364,0.266667,0.502924,0.293233,0.211656,0.277056,0.633075,0.577947,0.537143,0.517241
85023,34635,72442,87.2,12.8,31274,12.6,67.2,60.9,21.5,27.2,6.0,10.4,5.0,5.9,20.7,9.0,32.7,2.8,31.3,2.6,15.0,17.9,11.0,95.0,44.0,51.0,0.380154,0.185707,0.583039,0.416961,0.284507,0.268908,0.211538,0.33871,0.2,0.311111,0.656863,0.310078,0.355634,0.192308,0.419753,0.218182,0.3,0.532164,0.315789,0.273006,0.233766,0.576227,0.326996,0.228571,0.413793
85024,25674,97759,90.9,9.1,22898,8.0,66.1,67.9,18.6,22.9,5.5,10.0,3.7,4.4,20.7,6.6,29.6,2.3,28.4,2.0,10.7,16.7,8.7,114.0,67.0,47.0,0.274489,0.373619,0.713781,0.286219,0.202817,0.148459,0.179487,0.274194,0.096,0.144444,0.656863,0.124031,0.246479,0.096154,0.240741,0.109091,0.120833,0.461988,0.142857,0.131902,0.186147,0.757106,0.39924,0.36,0.37931
85027,38986,73255,90.1,9.9,37140,10.3,65.3,63.3,18.6,23.7,5.2,10.1,4.0,4.9,20.6,7.2,29.8,2.4,29.3,2.1,12.5,17.7,9.5,212.0,139.0,73.0,0.43146,0.191742,0.685512,0.314488,0.202817,0.170868,0.160256,0.290323,0.12,0.2,0.647059,0.170543,0.253521,0.115385,0.296296,0.127273,0.195833,0.520468,0.203008,0.202454,0.151515,0.638243,0.771863,0.771429,0.603448
85028,18952,119436,97.2,2.8,19157,5.8,71.7,72.6,25.4,29.7,8.5,9.5,5.5,5.2,18.4,8.6,36.4,3.1,27.7,2.7,10.8,13.6,9.2,158.0,92.0,66.0,0.195224,0.534514,0.936396,0.063604,0.394366,0.338936,0.371795,0.193548,0.24,0.233333,0.431373,0.27907,0.485915,0.25,0.197531,0.236364,0.125,0.280702,0.180451,0.064417,0.428571,0.878553,0.56654,0.502857,0.543103
85029,49433,60384,86.8,13.2,43233,15.1,66.9,57.2,21.8,28.0,5.9,10.7,5.4,6.5,21.0,9.8,32.6,3.0,32.7,2.9,17.2,19.0,12.0,177.0,87.0,90.0,0.554649,0.096209,0.568905,0.431095,0.292958,0.291317,0.205128,0.387097,0.232,0.377778,0.686275,0.372093,0.352113,0.230769,0.506173,0.272727,0.391667,0.596491,0.390977,0.349693,0.220779,0.48062,0.638783,0.474286,0.75
85031,30681,59641,72.9,27.1,30493,35.3,63.7,40.6,19.2,28.3,4.2,11.6,5.8,7.2,21.0,13.4,32.2,3.5,38.6,3.3,28.8,22.2,15.9,188.0,125.0,63.0,0.33353,0.090694,0.077739,0.922261,0.219718,0.29972,0.096154,0.532258,0.264,0.455556,0.686275,0.651163,0.338028,0.326923,0.87037,0.345455,0.875,0.783626,0.684211,0.969325,0.082251,0.05168,0.680608,0.691429,0.517241
85032,70447,74331,87.1,12.9,65485,13.3,66.9,61.5,21.0,26.5,6.1,10.3,4.9,5.7,20.4,8.7,32.3,2.8,30.8,2.5,14.9,17.6,10.7,213.0,103.0,110.0,0.802441,0.199728,0.579505,0.420495,0.270423,0.2493,0.217949,0.322581,0.192,0.288889,0.627451,0.286822,0.341549,0.192308,0.388889,0.2,0.295833,0.51462,0.293233,0.294479,0.220779,0.591731,0.775665,0.565714,0.922414
85033,58234,60749,75.7,24.3,53037,33.5,63.1,42.0,17.9,26.6,3.8,11.5,5.0,6.5,21.3,12.2,30.8,3.2,38.3,2.9,26.9,22.3,15.0,182.0,130.0,52.0,0.658428,0.098918,0.176678,0.823322,0.183099,0.252101,0.070513,0.516129,0.2,0.377778,0.715686,0.55814,0.288732,0.269231,0.851852,0.272727,0.795833,0.789474,0.616541,0.91411,0.056277,0.087855,0.657795,0.72,0.422414
85034,4825,53545,86.4,13.6,5582,25.3,66.8,48.3,20.5,31.2,4.7,10.8,6.0,6.4,19.0,14.5,33.5,3.6,38.5,3.3,25.0,19.2,14.4,156.0,88.0,68.0,0.028642,0.045447,0.55477,0.44523,0.256338,0.380952,0.128205,0.403226,0.28,0.366667,0.490196,0.736434,0.383803,0.346154,0.864198,0.345455,0.716667,0.608187,0.571429,0.662577,0.21645,0.250646,0.558935,0.48,0.560345
85035,52002,57790,74.0,26.0,47486,34.6,62.4,42.1,16.2,25.0,3.4,11.5,4.5,5.7,20.9,11.6,29.6,3.0,37.8,2.6,26.5,22.3,14.4,161.0,110.0,51.0,0.584942,0.076955,0.116608,0.883392,0.135211,0.207283,0.044872,0.516129,0.16,0.288889,0.676471,0.511628,0.246479,0.230769,0.820988,0.218182,0.779167,0.789474,0.571429,0.947853,0.025974,0.090439,0.577947,0.605714,0.413793
85037,53041,81919,81.9,18.1,44771,23.6,63.8,51.0,16.4,24.1,3.7,10.8,4.0,5.0,20.1,9.8,28.9,2.6,35.0,2.3,19.8,20.1,12.0,200.0,124.0,76.0,0.597194,0.256049,0.39576,0.60424,0.140845,0.182073,0.064103,0.403226,0.12,0.211111,0.598039,0.372093,0.221831,0.153846,0.648148,0.163636,0.5,0.660819,0.390977,0.610429,0.08658,0.320413,0.726236,0.685714,0.62931
85040,33325,57890,76.6,23.4,29352,28.1,65.8,44.4,19.1,29.8,4.1,11.5,5.4,6.3,19.6,13.5,31.2,3.5,38.7,3.4,25.7,21.0,14.4,159.0,86.0,73.0,0.364707,0.077697,0.208481,0.791519,0.216901,0.341737,0.089744,0.516129,0.232,0.355556,0.54902,0.658915,0.302817,0.326923,0.876543,0.363636,0.745833,0.71345,0.571429,0.748466,0.17316,0.149871,0.570342,0.468571,0.603448
85041,63881,70555,83.2,16.8,54947,25.3,65.3,49.0,17.9,27.0,4.0,11.0,4.8,5.5,19.5,11.9,30.5,3.1,36.5,2.8,22.7,19.9,13.1,150.0,70.0,80.0,0.725016,0.171702,0.441696,0.558304,0.183099,0.263305,0.083333,0.435484,0.184,0.266667,0.539216,0.534884,0.278169,0.25,0.740741,0.254545,0.620833,0.649123,0.473684,0.662577,0.151515,0.268734,0.536122,0.377143,0.663793
85042,45575,86837,84.9,15.1,40962,19.6,66.9,55.0,18.8,27.6,4.7,10.6,4.7,5.2,18.7,11.1,30.9,3.1,34.8,2.8,19.0,18.3,11.7,151.0,103.0,48.0,0.509156,0.292552,0.501767,0.498233,0.208451,0.280112,0.128205,0.370968,0.176,0.233333,0.460784,0.472868,0.292254,0.25,0.635802,0.254545,0.466667,0.555556,0.368421,0.48773,0.220779,0.423773,0.539924,0.565714,0.387931
85043,39603,70051,77.1,22.9,30560,27.2,63.2,48.0,15.8,23.9,3.4,11.0,4.0,5.1,20.3,10.1,28.2,2.7,36.3,2.4,21.8,20.7,12.6,153.0,70.0,83.0,0.438736,0.167961,0.226148,0.773852,0.123944,0.176471,0.044872,0.435484,0.12,0.222222,0.617647,0.395349,0.197183,0.173077,0.728395,0.181818,0.583333,0.695906,0.43609,0.720859,0.060606,0.242894,0.547529,0.377143,0.689655
85044,40419,96374,93.5,6.5,37993,7.6,68.5,69.4,20.3,25.3,6.4,9.7,4.3,4.4,18.9,7.4,31.6,2.6,28.0,2.2,10.7,15.3,8.6,171.0,99.0,72.0,0.448358,0.363339,0.805654,0.194346,0.250704,0.215686,0.237179,0.225806,0.144,0.144444,0.480392,0.186047,0.316901,0.153846,0.216049,0.145455,0.120833,0.380117,0.135338,0.119632,0.290043,0.795866,0.61597,0.542857,0.594828
85045,7457,154300,95.9,4.1,7238,5.2,68.1,75.0,18.1,22.5,5.6,9.1,3.2,3.3,17.9,6.2,30.6,2.1,26.8,1.7,8.1,13.4,7.2,36.0,26.0,10.0,0.059678,0.793287,0.890459,0.109541,0.188732,0.137255,0.185897,0.129032,0.056,0.022222,0.382353,0.093023,0.28169,0.057692,0.141975,0.054545,0.0125,0.269006,0.030075,0.046012,0.272727,0.940568,0.102662,0.125714,0.060345
85048,34113,123198,95.0,5.0,33449,6.0,68.2,72.8,18.8,23.5,5.7,9.5,3.5,3.7,18.5,6.7,31.0,2.2,27.3,1.9,9.2,14.3,7.8,163.0,99.0,64.0,0.373999,0.562437,0.858657,0.141343,0.208451,0.165266,0.192308,0.193548,0.08,0.066667,0.441176,0.131783,0.295775,0.076923,0.17284,0.090909,0.058333,0.321637,0.075188,0.070552,0.277056,0.883721,0.585551,0.542857,0.525862
